iter	RMSE
957	50.39573008
958	50.37220253
959	50.34962028
960	50.34668376
961	50.33422325
962	50.31399902
963	50.30129178
964	50.29634642
965	50.2830685
966	50.26215291
967	50.25062798
968	50.22433874
969	50.2082665
970	50.18544449
971	50.16999912
972	50.15297221
973	50.14479669
974	50.12939998
975	50.1156812
976	50.09794761
977	50.08862005
978	50.07057583
979	50.06814572
980	50.05318432
981	50.0407403
982	50.02558465
983	50.00380002
984	49.99105265
985	49.98208681
986	49.96596021
987	49.93758564
988	49.92213265
989	49.88762135
990	49.87821607
991	49.8593673
992	49.84101622
993	49.82201652
994	49.81238053
995	49.80532135
996	49.76384787
997	49.73908001
998	49.71937395
999	49.70641477
